상품ID,상품명,노출수,클릭수,클릭율,CPC적용수수료,CPC클릭당수수료
20250829_LDW_QZT_ML_0001,뉴질랜드 여행 여름 연휴 퀸즈타운 휴일 패키지 일주 혼자여행 가족여행,1,0,0.0,0,0.0
20250829_CS_SA4C_ML_0016,남미일주 아르헨티나 브라질 볼리비아 페루 마추픽추 소금호수 우유니소금사막 크루즈 여행,1,0,0.0,0,0.0
20250829_LSR_BANGK_MOMW_0008,방콕 패키지 항공권 10월 리조트 태국 해외 날씨 가을,1,0,0.0,0,0.0
20250901_LSR_HANOI_NMKTF_0008,11월 동남아 직항 베트남 리조트 하롱베이 여행 하노이,1,0,0.0,0,0.0
20250829_LSR_PHUKET_MKLK_19,태국 디저트 직항 쇼핑 리조트 요트 여행 해외 허니문,2,0,0.0,0,0.0
20250902_LSR_TOKY_NTMR_0014,11월도쿄여행 에어텔 일본 일정 직항 날씨 오와쿠다니,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_DMK_0024,12월 호주 여행 시드니 패키지 6박7일 가족 투어,1,0,0.0,0,0.0
20250829_LSR_PHUKET_MFLTLF_12,푸껫 마사지 호텔 항공권 숙소 패키지 날씨 쇼핑 빅부다 태국 빠통비치,1,0,0.0,0,0.0
20250829_KTM__MAKAO_DMK_0049,12월 2박3일 날씨 여행 가격 마카오 직항 홍콩,1,0,0.0,0,0.0
20250829_LSR_BANGK_MOMW_0006,방콕 가을 리조트 10월 날씨 태국 여행 항공권,1,0,0.0,0,0.0
20250829_KTM_ENGLAND_ML_0011,영국 위스키 가족 가볼만한곳 해리포터 흑맥주 도심 가격 여행 패키지 커플,2,0,0.0,0,0.0
20250901_LSR_HANOI_MKLKLO_0009,하노이 자유 야시장 동남아 케이블카 해외 호핑투어 항공권 일정 에어텔,1,0,0.0,0,0.0
20250829_LSR_BANGK_MMK_0007,방콕 날씨 추석연휴 태국 항공권 여행 해외 직항,1,0,0.0,0,0.0
20250829_CS_SA3C_GPT_0019,멕시코 칸쿤 리비에라마야 쿠바 하바나여행,1,0,0.0,0,0.0
20250829_CS_NG_SNK_0017,미동부 캐나다 나이아가라 미국 09월 패키지 여행코스 인천출발 7월 가족여행,1,0,0.0,0,0.0
20250901_LSR_DANA_MKLKSH_0012,다낭 베트남 전망대 리조트 해외 마사지 바나힐테마파크,1,0,0.0,0,0.0
20250829_CS_SF_SNK_0004,라스베가스여행 샌프란시스코여행 미주여행 미국서부여행 그랜드캐년 투어 아시아나항공,1,0,0.0,0,0.0
